경찰서,주소,인원증감,증감율
천안서북,충청남도 천안시 서북구 번영로 705 (업성동),18,4.0724
천안동남,충청남도 천안시 동남구 청수6로 73 (청당동),11,2.7094
서산,충청남도 서산시 안견로 327 (읍내동),13,4.9618
논산,충청남도 논산시 강경읍 계백로 159,7,2.7132
아산,충청남도 아산시 남부로 370-15 (풍기동),17,4.1975
공주,충청남도 공주시 백제문화로 2148-15 (웅진동),8,3.3333
보령,충청남도 보령시 대천로 33 (대천동),6,2.4194
당진,충청남도 당진시 무수동7길 144 (읍내동),11,4.2471
세종,세종특별자치시 조치원읍 군청로 36,10,3.3557
홍성,충청남도 홍성군 홍성읍 충서로 1254,3,1.4286
예산,충청남도 예산군 예산읍 사직로 5,5,2.7933
부여,충청남도 부여군 부여읍 성말로 4,7,3.7234
서천,충청남도 서천군 장항읍 신창동로 15,7,4.2945
금산,충청남도 금산군 금산읍 인삼로 201,7,5.0
청양,충청남도 청양군 청양읍 충절로 1317,1,0.7634
태안,충청남도 태안군 동백로 112,8,4.9383
전주완산,전라북도 전주시 완산구 전라감영로 66 (전동),17,3.0631
전주덕진,전라북도 전주시 덕진구 온고을로 299 (팔복동3가),1,0.1919
군산,전라북도 군산시 구암3.1로 82 (경암동),15,2.8517
익산,전라북도 익산시 배산로 165-12 (모현동2가),13,2.5845
정읍,전라북도 정읍시 중앙1길 157 (장명동),7,2.2581
남원,전라북도 남원시 교룡로 185 (향교동),2,0.7692
김제,전라북도 김제시 중앙로 213 (신풍동),3,1.2346
완주,전라북도 완주군 봉동읍 봉동로 28,9,4.3902
고창,전라북도 고창군 고창읍 보릿골로 175,1,0.5882
부안,전라북도 부안군 행안면 염소로 33,3,1.7143
임실,전라북도 임실군 임실읍 호국로 1702,0,0.0
순창,전라북도 순창군 구림면 구림로 3-2(임시청사),5,4.3103
진안,전라북도 진안군 진안읍 우화산길 3,3,2.3622
장수,전라북도 장수군 장수읍 신천로 8,0,0.0
무주,전라북도 무주군 무주읍 한풍루로 408,6,5.7143
목포,전라남도 목포시 동명로 124,16,2.5518
여수,전라남도 여수시 하멜로 2 (고소동),13,2.5341
순천,전라남도 순천시 조비길 2 (가곡동),12,2.4742
나주,전라남도 나주시 영산로 5415-22 (성북동),5,1.938
광양,전라남도 광양시 광양읍 제철로 16-16,3,1.1111
고흥,전라남도 고흥군 고흥읍 흥양길 42,3,1.4851
해남,전라남도 해남군 해남읍 영빈로 61,4,1.9608
무안,전라남도 무안군 무안읍 무안로 479,3,1.5625
장흥,전라남도 장흥군 장흥읍 읍성로 123,1,0.7143
보성,전라남도 보성군 보성읍 중앙로 88,2,1.3245
영광,전라남도 영광군 영광읍 중앙로 211,5,3.268
화순,전라남도 화순군 화순읍 자치샘로 29,5,3.1056
함평,전라남도 함평군 함평읍 중앙길 220,7,5.7851
영암,전라남도 영암군 영암읍 남문로 19,3,1.7857
장성,전라남도 장성군 장성읍 영천로 164,3,2.1739
강진,전라남도 강진군 강진읍 탐진로 119,4,3.0303
담양,전라남도 담양군 담양읍 무정로 15,1,0.7463
곡성,전라남도 곡성군 곡성읍 중앙로 161,4,3.4483
완도,전라남도 완도군 완도읍 농공단지길 32,5,3.2468
진도,전라남도 진도군 진도읍 남산2길 33,2,1.5748
구례,전라남도 구례군 구례읍 봉성로 74,1,0.8547
경주,경상북도 경주시 중앙로 63 (동부동),18,3.7344
포항북부,경상북도 포항시 북구 중앙로 331 (덕산동),11,2.5522
포항남부,경상북도 포항시 남구 연일로 55 (상도동),12,2.8504
구미,경상북도 구미시 송원동로 11-4 (송정동),10,1.5408
경산,경상북도 경산시 원효로 68 (계양동),12,3.0151
안동,경상북도 안동시 제비원로 103 (당북동),8,2.2663
김천,경상북도 김천시 김천로 164 (남산동),9,3.2491
영주,경상북도 영주시 광복로 47 (영주동),3,1.3393
영천,경상북도 영천시 금호읍 최무선로 1,6,2.6432
상주,경상북도 상주시 중앙로 230 (성하동),5,2.1097
문경,경상북도 문경시 매봉로 35 (모전동),3,1.5873
칠곡,경상북도 칠곡군 약목면 칠곡대로 1050,8,3.4934
의성,경상북도 의성군 의성읍 동서1길 31,4,2.3256
청도,경상북도 청도군 청도읍 새마을로 1362,2,1.6949
영덕,경상북도 영덕군 영덕읍 남산1길 14,2,1.6529
울진,경상북도 울진군 울진읍 울진중앙로 28,6,4.2857
봉화,경상북도 봉화군 봉화읍 내성로 73,4,3.6364
예천,경상북도 예천군 예천읍 군청길 21,5,3.9062
성주,경상북도 성주군 성주읍 성주순환로 251,4,3.1008
청송,경상북도 청송군 청송읍 월막1길 5-15,5,5.0
영양,경상북도 영양군 영양읍 영양창수로 135,3,3.6585
군위,경상북도 군위군 군위읍 중앙길 74,1,1.0101
고령,경상북도 고령군 대가야읍 대가야로 1411,7,6.9307
울릉,경상북도 울릉군 울릉읍 도동2길 62,1,1.8182
창원중부,경상남도 창원시 의창구 상남로 177 (신월동),27,6.4133
창원서부,경상남도 창원시 의창구 우곡로 10 (도계동),0,0.0
마산중부,경상남도 창원시 마산합포구 3·15대로 147 (중앙동2가),1,0.3497
마산동부,경상남도 창원시 마산회원구 합성남17길 56 (합성동),3,0.8219
진주,경상남도 진주시 비봉로24번길 3 (중안동),11,2.1569
김해중부,경상남도 김해시 김해대로 2307 (봉황동),15,3.2328
김해서부,경상남도 김해시 계동로 175 (대청동),15,5.1903
거제,경상남도 거제시 진목1길 2 (옥포동),16,4.4321
양산,경상남도 양산시 물금읍 신주4길 8,22,5.5838
진해,경상남도 창원시 진해구 진해대로 815 (석동),9,3.5573
통영,경상남도 통영시 광도면 죽림3로 53,7,2.9167
사천,경상남도 사천시 남일로 37 (동금동),7,3.1532
밀양,경상남도 밀양시 상남면 밀양대로 1545,9,4.2254
거창,경상남도 거창군 거창읍 중앙로 97,3,1.7964
합천,경상남도 합천군 합천읍 황강체육공원로 67,4,2.5316
창녕,경상남도 창녕군 창녕읍 종로 38-6,3,1.8987
하동,경상남도 하동군 하동읍 경서대로 139,3,2.0
남해,경상남도 남해군 남해읍 화전로 89,5,3.6496
함양,경상남도 함양군 함양읍 학사루길 12,3,2.2901
산청,경상남도 산청군 산청읍 중앙로 1,5,3.937
함안,경상남도 함안군 가야읍 가야로 85,3,1.9108
의령,경상남도 의령군 의령읍 충익로 53,4,2.9197
제주동부,제주특별자치도 제주시 동광로 66 (이도이동),18,3.9911
제주서부,제주특별자치도 제주시 애월읍 애조로 215,10,2.7473
서귀포,제주특별자치도 서귀포시 신중로 27 (법환동),14,4.0936
